Title,Category
Oil prices rise 4% as US-led strikes in Yemen raise fears of wider conflict,business
Here’s why so many Alaska and United flights are still canceled,business
Renters are being hit harder by inflation than homeowners,business
How the Red Sea crisis could clobber the global economy,business
China wraps up 2023 with more deflation and a trade slump,business
Class action lawsuit filed against Boeing after last week’s Alaska Airlines incident,business
"Lawmakers call on federal regulators to review Navy Federal over mortgage approval disparities, citing CNN investigation",business
CVS will close some Target pharmacy locations,business
Al Gore is officially too old to serve on Apple’s board,business
eBay to pay $3 million after former employees sent live insects and a bloody pig mask to harass a couple,business
Credit card delinquencies surpass pre-pandemic levels,business
"Airbus lands record orders in 2023, beats Boeing on deliveries",business
ESPN returns Emmys and disciplines staff after submitting for awards under fake names,business
Bipartisan bill aims to fight antisemitism on campus by fortifying civil rights complaint system,business
FAA opens investigation into Boeing quality control after Alaska Airlines incident,business
"Hertz is selling 20,000 electric vehicles to buy gasoline cars instead",business
What’s getting more expensive — and cheaper — at the grocery store,business
"Mortgage rates inch up for the second week in a row, landing at 6.66%",business
FAA opens formal investigation into Boeing after Alaska Airlines incident,business
Hotter-than-expected U.S. inflation numbers could delay Fed rate cuts,business
New social media changes announced by Meta,business
New social media changes announced by Meta,business
"Prices are falling for TVs, cars and gasoline, says US Treasury Secretary",business
German rail strikes and farmers’ protests cause disruption in Europe’s biggest economy,business
Pat McAfee’s repeated airing of conspiracy theories on ESPN presents a headache for Disney boss Bob Iger,business
How to take on the viral No Spend January trend,business
"No, the SEC has not (yet) approved bitcoin ETFs",business
"China is ‘certain’ to have overtaken Japan as the world’s top auto exporter in 2023, industry group says",business
China claims it has cracked Apple AirDrop’s encryption to identify senders,business
Boeing CEO acknowledges ‘mistake’ related to terrifying Alaska Airlines flight,business
Tech firms unveil newest innovations at annual conference,business
"To keep gas prices down, the US may continue setting records doing this",business
You may see more money in your paycheck this month. Here’s why,business
Swiss banking CEO reveals the industry’s secrets to success,business
WTO’s director-general gives a Richard Quest tour of its Geneva headquarters,business
What to expect at work in 2024,business
Here’s where the minimum wage is increasing this year,business
Forget ‘spend less’ or ‘save more.’ Make this your No. 1 financial resolution for 2024,business
"Shawn Fain, CNN Business’ labor leader of the year, plans to keep automakers sweating",business
Fidelity fund again trims Elon Musk’s X valuation,business
ASML forced to suspend some China exports after US escalates tech battle,business
Baidu’s live streaming plans suffer as it calls off $3.6 billion Joyy deal,business
Microsoft’s Satya Nadella is CNN Business’ CEO of the Year,business
Why Amazon just sent you an email about ads on Prime Video,business
Washington Post union reaches tentative agreement with management after 18 months of negotiations,business
The risks and rewards of a Warner Bros. Discovery and Paramount merger,business
"Tensions boil inside The Washington Post amid union standoff, questions over new CEO",business
"Bilt’s January Rent Day promotion: Up to a 150% transfer bonus to Flying Blue, Virgin Atlantic and IHG One Rewards",business
Earn the Southwest Companion Pass through 2025 with this incredible offer,business
Lower your expenses by getting one of these credit cards with no annual fee,business
Best ways to redeem Citi ThankYou points for maximum value,business
Why lab-grown diamond sales are surging,business
The Chevrolet Corvette is officially going electric,business
This social app prohibits edited photos to encourage users to be more authentic. It’s growing fast,business
"BMW reveals its new $120,000 electric flagship",business
OpenAI’s wild week. How the Sam Altman story unfolded,business
Sam Altman returns to OpenAI in a bizarre reversal of fortunes,business
Opinion: The drama around Sam Altman is an urgent warning,business
Microsoft stock hits all-time high after hiring former OpenAI CEO Sam Altman,business
US and UK carry out strikes against Iran-backed Houthis in Yemen,politics
Fact Check: Donald Trump repeats false claims about his legal troubles after closing arguments in civil trial,politics
"Some Democrats hate it, but ‘Bidenomics’ isn’t going anywhere",politics
Biden administration tells Supreme Court Texas is barring federal government’s access to part of US-Mexico border,politics
2024 Republicans worry that subzero temperatures could scramble caucus turnout,politics
Student loan forgiveness under SAVE plan to begin next month,politics
Trump and DeSantis hit Haley over Social Security as they duck their own records,politics
READ: President Joe Biden’s statement on strikes against Houthi targets in Yemen,politics
Pentagon watchdog launches review following Austin hospitalization,politics
US attacks in Yemen sharpen Biden’s military and political dilemmas,politics
The GOP primary is detouring again from the debate stage to the courtroom,politics
Why 2nd place in Iowa is so important,politics
2024 voting is about to begin. Do you know what a caucus is?,politics
Everything is on the line for Haley and DeSantis at Wednesday night’s debate,politics
Trump’s immunity appeal sends a stark message about his plans for a possible second term,politics
Trump toggles between the courtroom and the campaign in the final week before 2024 voting begins,politics
"A widened Middle East war would be a disaster, but it can still be avoided",politics
Trump’s appeals on ballot access raise existential constitutional arguments,politics
Pelosi says it’s ‘impossible’ for Trump to be president again,politics
‘That’s leadership’: Iowa voters react to Trump’s comment on being a dictator,politics
The 2024 primary campaigns have already changed the Republican Party,politics
This may be Biden’s best hope of reversing his slide with Black and brown voters,politics
Fact checking CNN’s GOP debate in Iowa,politics
Fact checking Ron DeSantis’ and Nikki Haley’s CNN town halls in Iowa,politics
"Trump defends former influencer convicted of election interference who has racist, antisemitic past",politics
House Speaker Mike Johnson pursues impeachment strategy he once said could cause ‘irreparable damage’ to the country,politics
Takeaways from the closing arguments in the $370 million Donald Trump civil fraud trial,politics
Why this week’s GOP debate has at least one Iowa Republican reconsidering her pick,politics
Hardliners pressure Johnson to back off spending deal with Schumer as shutdown looms,politics
Hunter Biden pleads not guilty to federal tax charges,politics
Michigan commission asks Supreme Court to let it use Detroit-area legislative maps deemed unconstitutional,politics
"Sununu says he would vote for Trump if he’s the nominee, even if he’s a convicted felon",politics
"US did not properly track more than $1 billion worth of weapons sent to Ukraine, watchdog report finds",politics
Ramaswamy urges Supreme Court to overturn Colorado ruling removing Trump from ballot,politics
Former Maryland elections official charged in January 6 case,politics
Jill Biden blasts GOP probe into Hunter Biden in rare comments,politics
"With funding deal still out of reach, it’s time to prepare for a potential partial shutdown",politics
Here’s what we know about the 2024 presidential candidates’ tax proposals,politics
Biden will dispatch unofficial delegation to Taiwan following its election,politics
Biden administration announces $623 million for new EV chargers across the nation,politics
Trump civil trial closing arguments: What to know,politics
Takeaways from CNN’s Iowa debate with DeSantis and Haley,politics
Chris Christie skewers Haley and DeSantis on hot mic before ending 2024 campaign,politics
DeSantis and Haley battled for the spotlight in the Iowa debate. They got near-equal time.,politics
Blinken warns ‘there will be consequences’ for continued Houthi attacks,politics
Biden meets with Paul Whelan’s sister at White House,politics
Ohio House votes to override governor’s veto of gender-affirming care ban for minors,politics
House GOP feud reignites as Johnson caught between warring wings,politics
Rep. Lauren Boebert’s ex-husband recants claim she struck him; police say he faces charges in two incidents,politics
State Democrats break off-year fundraising record as they look to make inroads in red states in 2024,politics
Two House committees vote to advance Hunter Biden contempt proceedings hours after surprise visit,politics
In pictures: Trump in court for civil fraud trial,politics
In pictures: Former New Jersey Gov. Chris Christie,politics
In pictures: Florida Gov. Ron DeSantis,politics
"FDA finds no evidence that Ozempic, similar drugs cause suicidal thoughts in preliminary evaluation",health
"Nearly 1 in 10 teens worldwide have used ineffective and potentially harmful weight-loss products, study estimates",health
"Prescriptions for ADHD medications jumped by more than 1 million during the pandemic, study finds",health
"Despite complications from surgery, Defense Secretary Lloyd Austin has good prognosis after prostate cancer diagnosis",health
"Measles outbreak involving cases at a Philadelphia day care center expands, health officials say",health
Insurance denials for popular new weight loss medications leave patients with risky choices,health
"More US pharmacists can now prescribe birth control, and soon, some patients won’t need prescriptions at all",health
Mariska Hargitay says she went into ‘freeze mode’ when sexually assaulted. Here’s what that is,health
Michael Strahan’s daughter Isabella’s medulloblastoma diagnosis highlights rare type of cancer,health
Truff’s new Jalapeño Lime Hot Sauce is here to spice up your next taco night,health
"Plastic chemicals linked to $249 billion in US health care costs in 2018 alone, study finds",health
"Gene that protected humans 5,000 years ago may be linked to debilitating modern disease",health
FDA to allow importation of syphilis drug amid ongoing shortages,health
The essentials list: Actress Keke Palmer shares her 8 parenting and wellness essentials,health
How to exercise from the comfort of your couch,health
You need to talk to your teen about sex. This expert’s new book tells you how,health
Saturn’s moon Titan has disappearing ‘magic islands’ that may be clumps of organic material,health
NASA finally unlocks asteroid sample trapped behind stuck fasteners,health
Astronomers say they’ve traced the origin of powerful and mysterious radio signal,health
China launches Einstein probe that’s modeled after lobster eyes and designed to hunt for X-ray bursts,health
How to safely use a generator if you lost power during the winter storms,health
Engaging your core is not the same as sucking in your belly. Here’s the right way to do it,health
"Bottled water contains thousands of nanoplastics so small they can invade the body’s cells, study says",health
5 key health resolutions for 2024,health
"Taxes on sugary drinks cut consumer sales by 33%, study says",health
"Popular TikTok workouts may be dangerous or ineffective, experts say",health
Getting regular exercise in 2024 may actually be attainable with these 3 steps,health
Video: Food scientist explains how to stop your groceries going bad,health
Video: Perform kitchen miracles with these tips backed by science,health
Don’t just squeeze. Check this spot to see if your avocado is ripe,health
Recalled charcuterie meats linked to multistate salmonella outbreak,health
How to stay safe and healthy during extreme cold this winter season,health
"Ozempic, Wegovy not associated with higher risk of suicidal ideation in large review of US health records",health
"Eli Lilly launches service to connect patients with telehealth care, deliver medications to their homes",health
"FDA looking into reports of hair loss, suicidal thoughts in people using popular drugs for diabetes and weight loss",health
"In ‘True Detective: Night Country,’ Jodie Foster gets snowed in by side plots",entertainment
Jelly Roll calls for stronger legislation against fentanyl crisis in powerful congressional testimony,entertainment
Michael Strahan’s daughter is battling a malignant brain tumor,entertainment
Kristen Stewart explains why she thinks ‘Twilight’ is ‘such a gay movie’,entertainment
"To grieve her mother, Ashley Judd first had to heal trauma",entertainment
Sally Field reveals Burt Reynolds refused to attend the Oscars with her the first year she won,entertainment
James Marsden’s mom was over the moon with pride for his Golden Globe nomination,entertainment
Lil Nas X stirs things up with ‘J Christ’ music video,entertainment
George Carlin AI special criticized by his daughter,entertainment
SAG Awards 2024: See the full list of nominees,entertainment
Major Hollywood stars press Academy to include Jews in representation and inclusion standards,entertainment
The Mandalorian and Grogu are getting a movie,entertainment
‘Echo’ trains Marvel’s ‘Spotlight’ on a small and dark corner of its universe,entertainment
"With ‘The Beekeeper,’ Jason Statham attracts flies for all the wrong reasons",entertainment
‘Mean Girls’ deserves a seat at the cool kids’ table,entertainment
Reese Witherspoon says she’s ‘working on’ making Season 3 of ‘Big Little Lies’ happen,entertainment
Barry Keoghan recalls battle with flesh-eating bacteria,entertainment
Jennifer Lopez pokes fun at being a four-time bride in ‘Can’t Get Enough’ music video,entertainment
Lily Gladstone ‘s historic win at the Golden Globes,entertainment
‘Monsieur Spade’ casts Clive Owen in a series that’s nearly the stuff dreams are made of,entertainment
Mariska Hargitay recalls being raped in her 30s in powerful essay about overcoming trauma,entertainment
‘The Color Purple’ completes its musical journey back to the screen with flying colors,entertainment
Sydney Sweeney and Glen Powell heat up a basic sun-and-fun rom-com in ‘Anyone But You’,entertainment
‘Ted’ brings Seth MacFarlane’s foul-mouthed teddy bear back to life on Peacock,entertainment
‘American Fiction’ probes the price of Black success in a White-dominated media culture,entertainment
‘Succession’ closes the deal and other big takeaways from the 2024 Golden Globe Awards,entertainment
Tom Cruise and Warner Bros. Discovery announce partnership to develop new movies,entertainment
A little-known version of Mickey Mouse came before ‘Steamboat Willie’ — and he wasn’t very nice,entertainment
How Emma Stone found her ‘most joyous role’ in ‘Poor Things’,entertainment
‘Percy Jackson and the Olympians’ tells a demigod origin story that isn’t half-bad,entertainment
Jeremy Allen White doesn’t sound totally comfortable with all the attention on his underwear campaign,entertainment
‘Leave the World Behind’ delivers a sobering jolt of ‘Mr. Robot’-style paranoia,entertainment
‘Ferrari’ picks the wrong Driver for Michael Mann’s car-racing vehicle,entertainment
Golden Globes 2024: See the full list of winners,entertainment
The ‘Barbie’ movie is being considered for adapted screenplay. Here’s what that means,entertainment
‘Maestro’ picks up the tune Bradley Cooper started in ‘A Star is Born’,entertainment
